epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,886.509,1.49712,0.98684,0.94159,0.47296,0.6462,0.6288,0.41729,1.64991,1.20033,0.95034,0.00715761,0.00715761,0.00715761
74,898.505,1.44501,1.02425,0.94312,0.42651,0.69988,0.6532,0.43563,1.62182,1.3195,0.95233,0.007087,0.007087,0.007087
75,910.115,1.45007,1.08668,0.96893,0.6692,0.46187,0.66349,0.44977,1.57871,1.45893,0.9519,0.00701588,0.00701588,0.00701588
76,921.945,1.46546,1.00516,0.93208,0.63321,0.58516,0.75726,0.50848,1.58959,1.50601,0.95311,0.00694428,0.00694428,0.00694428
77,933.426,1.43284,0.97353,0.93809,0.63321,0.58516,0.75726,0.50848,1.58959,1.50601,0.95311,0.00687222,0.00687222,0.00687222
78,945.23,1.38342,1.00813,0.93027,0.52261,0.70139,0.6933,0.45711,1.60593,1.46917,0.95814,0.0067997,0.0067997,0.0067997
79,956.846,1.37827,0.98236,0.9539,0.77151,0.65947,0.73629,0.53451,1.56334,1.22675,0.93672,0.00672675,0.00672675,0.00672675
80,969.951,1.33397,0.97217,0.9427,0.80261,0.60927,0.74916,0.54012,1.59762,1.15056,0.95009,0.00665339,0.00665339,0.00665339
81,981.885,1.43534,0.99323,0.94142,0.80261,0.60927,0.74916,0.54012,1.59762,1.15056,0.95009,0.00657963,0.00657963,0.00657963
82,993.522,1.41443,0.98456,0.92547,0.84795,0.57873,0.78177,0.58115,1.59089,1.12539,0.95251,0.0065055,0.0065055,0.0065055
83,1005.23,1.37167,0.997,0.94004,0.86325,0.48191,0.75283,0.56431,1.56507,1.20014,0.94197,0.00643101,0.00643101,0.00643101
84,1017.05,1.40053,0.95907,0.9095,0.59249,0.57622,0.62049,0.43436,1.56484,1.19583,0.94058,0.00635617,0.00635617,0.00635617
85,1028.72,1.39655,1.00884,0.94295,0.59249,0.57622,0.62049,0.43436,1.56484,1.19583,0.94058,0.00628101,0.00628101,0.00628101
86,1040.3,1.37734,0.9393,0.92836,0.3986,0.72956,0.52588,0.34324,1.5982,1.2379,0.95178,0.00620555,0.00620555,0.00620555
87,1051.9,1.37374,0.94059,0.94114,0.32877,0.57318,0.47133,0.29721,1.68164,1.29184,0.98082,0.00612981,0.00612981,0.00612981
88,1063.72,1.4481,0.99936,0.95816,0.76319,0.30702,0.41364,0.26018,1.59675,1.30338,0.97297,0.0060538,0.0060538,0.0060538
89,1075.75,1.47904,1.02203,0.92888,0.76319,0.30702,0.41364,0.26018,1.59675,1.30338,0.97297,0.00597754,0.00597754,0.00597754
90,1087.29,1.42025,1.01105,0.93795,0.72709,0.38121,0.40455,0.24339,1.6456,1.25808,0.96112,0.00590105,0.00590105,0.00590105
91,1099.28,1.44102,1.0339,0.94134,0.72977,0.37902,0.43038,0.24046,1.74059,1.23576,0.97089,0.00582435,0.00582435,0.00582435
92,1111.67,1.49443,1.02888,0.95075,0.6628,0.76091,0.72703,0.42401,1.66905,1.17729,0.95071,0.00574746,0.00574746,0.00574746
93,1123.63,1.35407,0.94928,0.9164,0.6628,0.76091,0.72703,0.42401,1.66905,1.17729,0.95071,0.0056704,0.0056704,0.0056704
94,1135.46,1.36875,0.9971,0.92292,0.88898,0.58729,0.77043,0.56351,1.58297,1.25253,0.93062,0.00559318,0.00559318,0.00559318
95,1147.91,1.34664,0.9204,0.91055,0.73632,0.55911,0.71435,0.52414,1.55257,1.33232,0.91983,0.00551584,0.00551584,0.00551584
96,1160.84,1.35522,0.93913,0.91323,0.66071,0.58184,0.72352,0.4888,1.61347,1.28491,0.92643,0.00543837,0.00543837,0.00543837
97,1172.73,1.37381,0.95443,0.931,0.66071,0.58184,0.72352,0.4888,1.61347,1.28491,0.92643,0.00536081,0.00536081,0.00536081
98,1184.93,1.33876,0.88817,0.90693,0.65389,0.75585,0.76119,0.5295,1.63184,1.15152,0.92946,0.00528318,0.00528318,0.00528318
99,1196.96,1.36215,0.89591,0.91792,0.68309,0.78363,0.79635,0.5554,1.56678,1.07229,0.92119,0.00520548,0.00520548,0.00520548
100,1208.68,1.37047,0.94431,0.94628,0.70792,0.82497,0.80704,0.59883,1.52732,1.05074,0.91673,0.00512775,0.00512775,0.00512775
101,1220.32,1.36653,0.92037,0.91691,0.70792,0.82497,0.80704,0.59883,1.52732,1.05074,0.91673,0.00505,0.00505,0.00505
102,1232.2,1.33991,0.8885,0.9067,0.59459,0.79941,0.79583,0.59717,1.52466,1.05439,0.9179,0.00497225,0.00497225,0.00497225
103,1244.33,1.29112,0.90364,0.91404,0.70297,0.65381,0.80085,0.58338,1.5773,1.07464,0.92359,0.00489452,0.00489452,0.00489452
104,1256.16,1.34352,0.92258,0.92222,0.83468,0.69867,0.83755,0.61489,1.564,1.05254,0.91801,0.00481682,0.00481682,0.00481682
105,1268.18,1.36311,0.96752,0.91126,0.83468,0.69867,0.83755,0.61489,1.564,1.05254,0.91801,0.00473919,0.00473919,0.00473919
106,1279.76,1.32505,0.88784,0.91254,0.83915,0.77589,0.86178,0.63098,1.51536,1.02723,0.91312,0.00466163,0.00466163,0.00466163
107,1291.45,1.29407,0.93455,0.9241,0.88387,0.74919,0.86049,0.62887,1.47567,1.00303,0.90839,0.00458416,0.00458416,0.00458416
108,1303.77,1.30103,0.8649,0.90202,0.77525,0.79962,0.83257,0.61469,1.45474,1.02345,0.90378,0.00450682,0.00450682,0.00450682
109,1315.5,1.24538,0.87978,0.89984,0.77525,0.79962,0.83257,0.61469,1.45474,1.02345,0.90378,0.0044296,0.0044296,0.0044296
110,1327.12,1.28818,0.867,0.90377,0.82771,0.74295,0.84629,0.61929,1.47374,1.05015,0.90304,0.00435254,0.00435254,0.00435254
111,1339.22,1.28145,0.9448,0.90843,0.69254,0.80637,0.81808,0.60324,1.5095,1.06984,0.90362,0.00427565,0.00427565,0.00427565
112,1350.52,1.23259,0.86139,0.88653,0.67908,0.80608,0.81953,0.61741,1.49229,1.05465,0.8987,0.00419895,0.00419895,0.00419895
113,1362.37,1.27549,0.8784,0.90206,0.67908,0.80608,0.81953,0.61741,1.49229,1.05465,0.8987,0.00412246,0.00412246,0.00412246
114,1373.87,1.25523,0.83754,0.90735,0.78735,0.71455,0.81716,0.61232,1.47451,1.03856,0.89677,0.0040462,0.0040462,0.0040462
115,1385.57,1.24873,0.87183,0.90232,0.74385,0.76176,0.82898,0.61289,1.45004,1.01724,0.89797,0.00397019,0.00397019,0.00397019
116,1397.17,1.24436,0.8463,0.9169,0.78014,0.61793,0.77563,0.5648,1.45696,1.10971,0.91157,0.00389445,0.00389445,0.00389445
117,1408.86,1.29363,0.87948,0.89255,0.78014,0.61793,0.77563,0.5648,1.45696,1.10971,0.91157,0.00381899,0.00381899,0.00381899
118,1420.61,1.27788,0.90041,0.91825,0.81709,0.54641,0.7616,0.54135,1.46987,1.17587,0.91791,0.00374383,0.00374383,0.00374383
119,1432.75,1.32579,0.87709,0.89502,0.61647,0.70587,0.74585,0.54292,1.49969,1.17382,0.91749,0.00366899,0.00366899,0.00366899
120,1444.76,1.21668,0.84659,0.89902,0.65757,0.7098,0.76279,0.56295,1.51841,1.10141,0.91007,0.0035945,0.0035945,0.0035945
121,1455.97,1.26555,0.8692,0.91687,0.65757,0.7098,0.76279,0.56295,1.51841,1.10141,0.91007,0.00352037,0.00352037,0.00352037
122,1467.57,1.21307,0.85005,0.9072,0.64037,0.7277,0.80064,0.58933,1.53588,1.07062,0.91577,0.00344661,0.00344661,0.00344661
123,1479.04,1.2596,0.8555,0.89155,0.68035,0.73136,0.80832,0.56343,1.52331,1.02736,0.91267,0.00337325,0.00337325,0.00337325
124,1490.75,1.22942,0.84368,0.90139,0.87592,0.68776,0.81215,0.59452,1.50195,1.00536,0.9144,0.0033003,0.0033003,0.0033003
125,1502.54,1.27423,0.83338,0.89364,0.87592,0.68776,0.81215,0.59452,1.50195,1.00536,0.9144,0.00322778,0.00322778,0.00322778
126,1513.91,1.22045,0.80793,0.89704,0.85764,0.67346,0.80832,0.61597,1.45692,0.9803,0.90424,0.00315572,0.00315572,0.00315572
127,1525.35,1.25352,0.83703,0.89221,0.82591,0.68247,0.80101,0.5998,1.46209,0.98628,0.90161,0.00308412,0.00308412,0.00308412
128,1537.02,1.2695,0.87452,0.89491,0.84249,0.68311,0.81656,0.60375,1.49971,0.97318,0.9037,0.003013,0.003013,0.003013
129,1548.51,1.27912,0.8523,0.89414,0.84249,0.68311,0.81656,0.60375,1.49971,0.97318,0.9037,0.00294239,0.00294239,0.00294239
130,1560.3,1.26527,0.85782,0.91315,0.88598,0.78233,0.86998,0.64911,1.51988,0.98118,0.91061,0.0028723,0.0028723,0.0028723
131,1571.82,1.24407,0.81427,0.90241,0.81055,0.81747,0.87082,0.65929,1.51303,1.00184,0.91436,0.00280275,0.00280275,0.00280275
132,1583.59,1.22792,0.81233,0.88082,0.7241,0.83486,0.84351,0.64587,1.49077,1.0178,0.9109,0.00273375,0.00273375,0.00273375
133,1595.34,1.15248,0.81767,0.89433,0.7241,0.83486,0.84351,0.64587,1.49077,1.0178,0.9109,0.00266532,0.00266532,0.00266532
134,1606.89,1.25248,0.84543,0.91217,0.78357,0.82979,0.84346,0.64404,1.45832,1.01354,0.90578,0.00259748,0.00259748,0.00259748
135,1618.64,1.22076,0.87597,0.88683,0.78604,0.82639,0.84717,0.64907,1.43323,1.00753,0.89913,0.00253024,0.00253024,0.00253024
136,1629.81,1.21973,0.80967,0.89542,0.78041,0.8225,0.86736,0.66682,1.43098,1.00111,0.89643,0.00246363,0.00246363,0.00246363
137,1641.48,1.20731,0.81139,0.88767,0.78041,0.8225,0.86736,0.66682,1.43098,1.00111,0.89643,0.00239766,0.00239766,0.00239766
138,1653.1,1.2191,0.80496,0.88989,0.80038,0.86075,0.88502,0.67372,1.4327,0.9904,0.89777,0.00233234,0.00233234,0.00233234
139,1664.77,1.20208,0.84327,0.8946,0.79549,0.85965,0.85352,0.65144,1.4239,0.97724,0.89785,0.00226769,0.00226769,0.00226769
140,1676.35,1.182,0.85554,0.9142,0.73189,0.82673,0.87524,0.66228,1.41709,0.99292,0.89951,0.00220372,0.00220372,0.00220372
141,1688.71,1.13482,0.77204,0.89285,0.73189,0.82673,0.87524,0.66228,1.41709,0.99292,0.89951,0.00214046,0.00214046,0.00214046
142,1702.23,1.19151,0.83776,0.90952,0.80667,0.74561,0.83525,0.63387,1.41046,1.00543,0.89803,0.00207792,0.00207792,0.00207792
143,1714.79,1.16147,0.80195,0.88074,0.74201,0.77189,0.82722,0.62551,1.40606,1.03219,0.89927,0.00201611,0.00201611,0.00201611
